project_id,employee_id,role
1,1,Developer
1,2,Manager
1,3,Analyst
1,4,Designer
1,5,Engineer
1,6,Coordinator
1,7,Team Lead
1,8,QA Tester
1,9,Developer
1,10,Manager
1,11,Analyst
1,12,Designer
2,13,Engineer
2,14,Coordinator
2,15,Team Lead
2,16,QA Tester
2,17,Developer
2,18,Manager
2,19,Analyst
2,20,Designer
2,21,Engineer
2,22,Coordinator
2,23,Team Lead
2,24,QA Tester
3,25,Developer
3,26,Manager
3,27,Analyst
3,28,Designer
3,29,Engineer
3,30,Coordinator
3,31,Team Lead
3,32,QA Tester
3,33,Developer
3,34,Manager
3,35,Analyst
3,36,Designer
4,37,Engineer
4,38,Coordinator
4,39,Team Lead
4,40,QA Tester
4,41,Developer
4,42,Manager
4,43,Analyst
4,44,Designer
4,45,Engineer
4,46,Coordinator
4,47,Team Lead
4,48,QA Tester
